Compound_Name	hergIC50	hergHill	navIC50	navHill	iksIC50	iksHill	itoIC50	itoHill	cavIC50	cavHill
Alfuzosin	13.6992	1	1688.45	1	1000000	1	1000000	1	1000000	1		
Ambrisentan	1000000	1	1091.37	1	68.607	1	1000000	1	1000000	1		
Darunavir	91.646	1	106.438	1	46.902	1	1000000	1	1595.84	1		
Dasatinib	46.8851	1	356.273	1	1000000	1	1000000	1	244.677	1		
Deferasirox	1000000	1	448.761	1	1000000	1	1000000	1	1000000	1		
Desvenlafaxine	1000000	1	306.753	1	1000000	1	1000000	1	1000000	1		
Dofetilide	0.574	1	568.037	1	151.868	1	1000000	1	1000000	1		
Duloxetine	7.0402	1	16.1087	1	1000000	1	1000000	1	27.3863	1		
Eltrombopag	1488.64	1	304.476	1	1000000	1	1000000	1	1000000	1		
Etravirine	27.1224	1	3911.83	1	1000000	1	1000000	1	1000000	1		
Everolimus	731.596	1	207.349	1	1000000	1	1000000	1	1000000	1		
Lamotrigine	242.27	1	37.946	1	1000000	1	1000000	1	1349.63	1		
Lapatinib	628.988	1	1000000	1	1000000	1	1000000	1	15161.3	1		
Maraviroc	73.697	1	691.042	1	1000000	1	1000000	1	1000000	1		
Moxifloxacin	1000000	1	273.467	1	392.357	1	1000000	1	1000000	1		
Moxifloxacin	419.563	1	874.725	1	1000000	1	1000000	1	432.965	1		
Nebivolol	6.536	1	7.1145	1	36.6458	1	1000000	1	14.2362	1		
Nelfinavir	492.9	1	550.049	1	1000000	1	1000000	1	1000000	1		
Nilotinib	1000000	1	4808.98	1	1000000	1	1000000	1	3494.97	1		
Paliperidone	1.37192	1	148.867	1	1000000	1	1000000	1	1048.43	1		
Raltegravir	326.594	1	1572.6	1	1000000	1	1000000	1	1000000	1		
Sildenafil	110.375	1	1335.11	1	153.826	1	1000000	1	1000000	1		
Sitagliptin	511.929	1	627.863	1	1000000	1	1000000	1	1000000	1		
Sunitinib	7.825	1	37.5728	1	1000000	1	1000000	1	187.714	1		
Tadalafil	120.156	1	141.781	1	251.792	1	1000000	1	380.268	1		
Tolterodine	0.1485	1	29.5487	1	1000000	1	1000000	1	27.6494	1		
Vardenafil	76.001	1	199.1	1	1000000	1	1000000	1	237.237	1
