-10,-81.3452,-81.3508,-81.3562,-81.3615,-81.3666,-81.3716,-81.3764,-81.3811,-81.3857,-81.3901,-81.3944
-9,-81.3453,-81.3509,-81.3563,-81.3616,-81.3667,-81.3717,-81.3765,-81.3812,-81.3857,-81.3901,-81.3944
-8,-81.3453,-81.3509,-81.3563,-81.3616,-81.3667,-81.3717,-81.3765,-81.3812,-81.3858,-81.3902,-81.3945
-7,-81.3454,-81.351,-81.3564,-81.3617,-81.3668,-81.3718,-81.3766,-81.3813,-81.3858,-81.3902,-81.3945
-6,-81.3454,-81.351,-81.3565,-81.3617,-81.3669,-81.3718,-81.3767,-81.3813,-81.3859,-81.3903,-81.3946
-5,-81.3455,-81.3511,-81.3565,-81.3618,-81.3669,-81.3719,-81.3767,-81.3814,-81.3859,-81.3904,-81.3946
-4,-81.3455,-81.3511,-81.3566,-81.3618,-81.367,-81.3719,-81.3768,-81.3814,-81.386,-81.3904,-81.3947
-3,-81.3456,-81.3512,-81.3566,-81.3619,-81.367,-81.372,-81.3768,-81.3815,-81.386,-81.3905,-81.3947
-2,-81.3456,-81.3512,-81.3567,-81.3619,-81.3671,-81.372,-81.3769,-81.3816,-81.3861,-81.3905,-81.3948
-1,-81.3457,-81.3513,-81.3567,-81.362,-81.3671,-81.3721,-81.3769,-81.3816,-81.3862,-81.3906,-81.3949
0,-81.3457,-81.3511,-81.3567,-81.3617,-81.3667,-81.3716,-81.3767,-81.3816,-81.3853,-81.3903,-81.3948
1,-72.5279,-72.5334,-72.5395,-72.5445,-72.5491,-72.5545,-72.56,-72.5652,-72.5692,-72.5746,-72.5793
2,-64.1704,-64.1774,-64.1848,-64.1912,-64.197,-64.2037,-64.2106,-64.2171,-64.2221,-64.2287,-64.2347
3,-34.2499,-34.3721,-34.5055,-34.6144,-34.717,-34.8322,-34.9615,-35.0757,-35.1547,-35.2723,-35.3809
4,45.084,44.8221,44.5622,44.3057,44.0507,43.7975,43.5464,43.2985,43.0519,42.8072,42.5653
5,52.1524,51.1545,50.1769,49.2205,48.2814,47.3628,46.4616,45.5771,44.7127,43.8646,43.0343
6,49.2555,47.5232,45.8435,44.2262,42.6605,41.1532,39.691,38.2781,36.9217,35.6084,34.338
7,46.652,44.3935,42.2388,40.1933,38.2449,36.3964,34.6343,32.9595,31.3742,29.8654,28.43
8,44.3886,41.8113,39.392,37.1302,35.0113,33.0325,31.1785,29.445,27.8287,26.3143,24.8953
9,42.4472,39.7167,37.1938,34.8715,32.7307,30.7622,28.9471,27.275,25.7363,24.3135,22.9961
10,40.7941,38.0326,35.5191,33.2389,31.168,29.29,27.5816,26.0269,24.6111,23.3145,22.1237
11,39.3925,36.6851,34.2543,32.0778,30.1259,28.3761,26.8011,25.3806,24.0964,22.9277,21.8596
12,38.2066,35.6092,33.3046,31.2637,29.4519,27.8416,26.403,25.1132,23.952,22.8987,21.9381
13,37.2035,34.7495,32.5937,30.7007,29.0329,27.559,26.2482,25.0765,24.0232,23.0684,22.1974
14,36.3538,34.0607,32.0615,30.317,28.7873,27.4397,26.2434,25.1744,24.2128,23.3398,22.5416
15,35.6317,33.5054,31.6619,30.0593,28.6574,27.4232,26.327,25.3458,24.4608,23.6547,22.9149
16,35.0154,33.0541,31.3594,29.8888,28.6024,27.4685,26.4588,25.5518,24.7304,23.9787,23.2855
17,34.486,32.683,31.1275,29.7772,28.594,27.5477,26.6124,25.768,24.9991,24.2915,23.635
18,34.0278,32.3735,30.9458,29.704,28.6123,27.6424,26.7706,25.9788,25.2531,24.5807,23.9528
19,33.6277,32.1108,30.7993,29.6545,28.6432,27.7395,26.9219,26.1739,25.4833,24.8387,24.232
20,33.2748,31.8834,30.6764,29.6178,28.6769,27.8303,27.0585,26.3467,25.684,25.0601,24.4678
21,32.96,31.6822,30.5687,29.586,28.7065,27.9087,27.1751,26.4923,25.8506,25.2406,24.6559
22,32.6758,31.5001,30.4695,29.5535,28.7268,27.9702,27.2676,26.607,25.9793,25.376,24.7913
23,32.4162,31.3314,30.374,29.5159,28.7343,28.0115,27.3329,26.6873,26.0663,25.4619,24.8689
24,32.1759,31.1718,30.2783,29.4701,28.726,28.0299,27.368,26.7298,26.1074,25.4931,24.8826
25,31.9508,31.0175,30.1794,29.4133,28.6994,28.0228,27.3699,26.7307,26.0978,25.4639,24.8271
26,31.7372,30.8658,30.0751,29.3435,28.6525,27.9876,27.3354,26.6858,26.0323,25.3697,24.7007
27,31.5324,30.7143,29.9632,29.2589,28.5832,27.9216,27.2606,26.5904,25.9066,25.2094,24.5104
28,31.3336,30.5609,29.842,29.1574,28.4889,27.8215,27.1413,26.4403,25.7198,24.9903,24.2748
29,31.1388,30.4038,29.7099,29.0373,28.3672,27.6838,26.9736,26.234,25.4781,24.7303,24.0198
30,30.946,30.2415,29.565,28.8962,28.2148,27.5045,26.7552,25.976,25.1977,24.4541,23.7692
31,30.7534,30.0723,29.4057,28.7317,28.0284,27.2808,26.4882,25.6795,24.9013,24.1838,23.5368
32,30.5595,29.8946,29.2297,28.5408,27.8047,27.0122,26.1816,25.3648,24.6102,23.9323,23.3274
33,30.3626,29.7067,29.0348,28.3204,27.5415,26.7036,25.8524,25.0526,24.3376,23.7042,23.1404
34,30.1612,29.5065,28.8182,28.0676,27.2397,26.3666,25.52,24.7571,24.0885,23.4987,22.9728
35,29.9535,29.292,28.5771,27.7806,26.9053,26.0184,25.2005,24.4848,23.8627,23.3132,22.8214
36,29.7377,29.0607,28.3087,27.4604,26.5504,25.6759,24.9027,24.2364,23.6576,23.1444,22.6831
37,29.512,28.8099,28.0112,27.1126,26.1905,25.3512,24.6291,24.0098,23.4701,22.9892,22.5554
38,29.274,28.5369,27.6849,26.748,25.8404,25.0498,24.3786,23.8021,23.2971,22.8452,22.436
39,29.0214,28.2398,27.3338,26.3804,25.5097,24.7724,24.1485,23.6101,23.1361,22.7102,22.3233
40,28.7517,27.9177,26.9664,26.023,25.2024,24.5172,23.9359,23.4313,22.985,22.5826,22.216
41,28.4625,27.5725,26.5945,25.6844,24.9187,24.2815,23.7379,23.2636,22.8422,22.461,22.113
42,28.1523,27.2097,26.23,25.3687,24.6566,24.0624,23.5524,23.1051,22.7061,22.3442,22.0131
43,27.8209,26.8384,25.8822,25.0761,24.4136,23.8576,23.3774,22.9543,22.5757,22.2314,21.9157
44,27.4708,26.4693,25.5557,24.805,24.187,23.6648,23.2113,22.8101,22.45,22.1217,21.8201
45,27.1075,26.1121,25.2517,24.5529,23.9745,23.4823,23.0528,22.6714,22.3281,22.0144,21.7257
46,26.7396,25.7732,24.9693,24.3174,23.774,23.3087,22.9007,22.5372,22.2093,21.9089,21.6319
47,26.3763,25.4555,24.7062,24.0962,23.5838,23.1426,22.7542,22.407,22.0929,21.8046,21.5384
48,26.0258,25.1592,24.4602,23.8872,23.4025,22.983,22.6122,22.2798,21.9784,21.7012,21.4448
49,25.6933,24.8827,24.229,23.6889,23.229,22.829,22.4743,22.1553,21.8654,21.5983,21.3507
50,25.3809,24.624,24.0107,23.4998,23.0622,22.6799,22.3396,22.0328,21.7533,21.4954,21.256
51,25.0884,24.3811,23.8035,23.3187,22.9011,22.5348,22.2076,21.9119,21.6419,21.3923,21.1604
52,24.8147,24.1519,23.606,23.1446,22.7451,22.3931,22.0778,21.7921,21.5308,21.2888,21.0637
53,24.5578,23.9347,23.417,22.9766,22.5933,22.2543,21.9498,21.6732,21.4197,21.1847,20.9657
54,24.3158,23.7278,23.2353,22.8138,22.4451,22.118,21.8232,21.5548,21.3085,21.0797,20.8663
55,24.0868,23.5301,23.0601,22.6555,22.3001,21.9835,21.6975,21.4367,21.1968,20.9738,20.7655
56,23.8693,23.3403,22.8905,22.5011,22.1576,21.8507,21.5726,21.3185,21.0846,20.8667,20.6632
57,23.6616,23.1575,22.7258,22.3501,22.0173,21.719,21.4482,21.2002,20.9716,20.7585,20.5592
58,23.4627,22.9807,22.5653,22.2019,21.8787,21.5882,21.3239,21.0815,20.8577,20.6489,20.4535
59,23.2715,22.8093,22.4084,22.056,21.7415,21.4581,21.1996,20.9623,20.7429,20.538,20.3461
60,23.087,22.6424,22.2546,21.9121,21.6054,21.3283,21.0752,20.8424,20.627,20.4257,20.237
61,22.9083,22.4796,22.1034,21.7698,21.4701,21.1987,20.9504,20.7217,20.51,20.3119,20.1261
62,22.7348,22.3201,21.9544,21.6287,21.3353,21.0691,20.8251,20.6002,20.3917,20.1966,20.0134
63,22.5657,22.1636,21.8072,21.4886,21.2009,20.9393,20.6992,20.4777,20.2722,20.0798,19.899
64,22.4004,22.0096,21.6615,21.3493,21.0666,20.8091,20.5727,20.3542,20.1514,19.9614,19.7828
65,22.2385,21.8576,21.5169,21.2104,20.9322,20.6786,20.4453,20.2296,20.0293,19.8414,19.6648
66,22.0794,21.7074,21.3732,21.0718,20.7977,20.5474,20.317,20.1039,19.9058,19.7199,19.545
67,21.9227,21.5585,21.2302,20.9333,20.6629,20.4157,20.1879,19.977,19.7809,19.5967,19.4235
68,21.7679,21.4108,21.0876,20.7948,20.5276,20.2832,20.0577,19.8489,19.6545,19.472,19.3002
69,21.6149,21.2639,20.9453,20.656,20.3919,20.1498,19.9265,19.7195,19.5268,19.3457,19.1752
